               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10327,            0.023718,            0.021581,             0.19111,             0.27236,             0.16101,            0.042157,            0.079397,            0.015734,           0.0094781,           0.0032479,           0.0032479,            0.070769
                   1,            0.082738,            0.017869,            0.011593,             0.64198,             0.13821,             0.07819,            0.012363,            0.083217,            0.011438,           0.0082459,            0.006516,            0.006516,            0.040704
                   2,            0.074649,              0.0172,            0.010239,            0.074461,             0.51613,            0.070613,            0.014862,            0.083345,           0.0097294,           0.0051792,           0.0097182,           0.0097182,            0.010573
                   3,            0.065683,            0.017239,           0.0099354,             0.19544,             0.54222,             0.17705,            0.038097,            0.061451,            0.010421,           0.0045033,            0.009703,            0.009703,            0.009703
                   4,            0.056988,            0.015953,           0.0084201,             0.21876,             0.57868,             0.35651,             0.12163,            0.050455,            0.009925,           0.0040961,            0.009703,            0.009703,            0.009703
                   5,            0.053983,            0.014974,           0.0090699,             0.23075,             0.69315,             0.29014,             0.10321,            0.048441,           0.0087883,           0.0042115,            0.009604,            0.009604,            0.009604
                   6,             0.05001,            0.015112,           0.0078345,              0.3675,             0.64608,             0.49809,             0.20891,            0.048978,           0.0083561,           0.0040161,            0.009505,            0.009505,            0.009505
                   7,            0.048415,            0.013722,           0.0074722,             0.59152,             0.61107,             0.59517,             0.22402,            0.044106,            0.007522,           0.0037856,            0.009406,            0.009406,            0.009406
                   8,            0.046228,            0.013119,           0.0078594,             0.65314,              0.6352,             0.63131,             0.27113,            0.039265,           0.0071646,           0.0040598,            0.009307,            0.009307,            0.009307
                   9,            0.043981,            0.013162,           0.0071025,             0.48729,             0.64716,              0.5751,             0.28335,            0.039145,           0.0071756,           0.0041852,            0.009208,            0.009208,            0.009208
                  10,            0.042944,            0.012902,           0.0075752,               0.547,             0.73412,             0.65341,             0.28814,            0.036118,           0.0069186,            0.003581,            0.009109,            0.009109,            0.009109
                  11,            0.041665,            0.012639,            0.007913,             0.53855,              0.7026,             0.63107,             0.31047,            0.037188,           0.0068259,           0.0039221,             0.00901,             0.00901,             0.00901
                  12,            0.041367,            0.012934,           0.0070208,              0.6056,             0.64883,             0.65414,             0.31821,            0.035788,           0.0065748,           0.0034548,            0.008911,            0.008911,            0.008911
                  13,            0.040652,            0.012209,           0.0065686,              0.6714,             0.59352,             0.60604,             0.33098,            0.033511,           0.0069002,           0.0036973,            0.008812,            0.008812,            0.008812
                  14,            0.038758,            0.012108,           0.0076793,             0.73615,             0.71086,             0.72769,             0.39664,            0.032287,           0.0063156,           0.0033446,            0.008713,            0.008713,            0.008713
                  15,            0.039023,            0.012248,           0.0066134,              0.6399,             0.77576,             0.69994,              0.3724,            0.031679,           0.0061629,            0.003101,            0.008614,            0.008614,            0.008614
                  16,            0.039059,             0.01247,           0.0067521,             0.62584,             0.76711,             0.66019,             0.29018,            0.037845,           0.0061453,            0.003454,            0.008515,            0.008515,            0.008515
                  17,            0.038699,            0.012033,           0.0064438,               0.771,             0.70043,             0.73443,             0.37834,             0.03183,           0.0066579,           0.0037667,            0.008416,            0.008416,            0.008416
                  18,            0.038794,            0.011141,           0.0069153,               0.737,              0.7241,             0.68678,             0.34646,             0.03396,           0.0066312,           0.0039323,            0.008317,            0.008317,            0.008317
                  19,            0.037914,            0.011361,           0.0057748,             0.78388,              0.6327,              0.6777,             0.36014,            0.032904,           0.0068257,            0.003773,            0.008218,            0.008218,            0.008218
                  20,            0.039367,            0.011101,           0.0064233,             0.70505,             0.73044,             0.68443,             0.34761,            0.034724,           0.0060665,           0.0033084,            0.008119,            0.008119,            0.008119
                  21,            0.037597,            0.012159,           0.0088546,              0.7505,             0.80192,              0.7706,             0.39886,            0.031614,           0.0062835,           0.0034335,             0.00802,             0.00802,             0.00802
                  22,            0.036196,              0.0117,           0.0064781,              0.8389,              0.7156,             0.76787,             0.38911,            0.030802,           0.0061934,           0.0032776,            0.007921,            0.007921,            0.007921
                  23,            0.036532,             0.01113,           0.0076757,              0.8412,              0.7509,             0.79524,             0.39284,            0.031687,           0.0060145,            0.003287,            0.007822,            0.007822,            0.007822
                  24,            0.036077,            0.011541,           0.0064981,             0.72165,             0.76005,             0.74918,             0.37917,            0.030736,           0.0059501,            0.003083,            0.007723,            0.007723,            0.007723
                  25,             0.03539,             0.01157,           0.0057397,             0.70388,             0.78324,             0.75678,             0.38304,            0.030278,           0.0058179,           0.0027456,            0.007624,            0.007624,            0.007624
                  26,             0.03407,            0.012173,           0.0053617,             0.74058,              0.7993,             0.77136,             0.39314,            0.029984,           0.0057968,           0.0028145,            0.007525,            0.007525,            0.007525
                  27,            0.035013,             0.01146,           0.0074215,             0.72333,             0.73761,             0.72066,             0.38317,            0.030724,           0.0060797,           0.0029713,            0.007426,            0.007426,            0.007426
                  28,            0.035608,            0.011556,           0.0051873,             0.73943,             0.76174,             0.75542,              0.3897,            0.031064,           0.0057634,           0.0028814,            0.007327,            0.007327,            0.007327
                  29,            0.035221,            0.011001,           0.0067942,             0.73129,             0.76305,              0.7636,             0.41985,            0.029573,           0.0058434,            0.002927,            0.007228,            0.007228,            0.007228
                  30,            0.034183,            0.011317,           0.0055489,             0.78201,             0.78324,             0.78252,             0.39572,            0.030242,           0.0057663,           0.0027468,            0.007129,            0.007129,            0.007129
                  31,            0.033982,            0.010814,           0.0060797,             0.73324,             0.79937,             0.77803,             0.41997,            0.028643,           0.0057599,           0.0028401,             0.00703,             0.00703,             0.00703
                  32,            0.033443,            0.011167,           0.0058616,             0.77472,             0.77787,             0.76698,             0.38816,            0.030771,           0.0057909,           0.0031376,            0.006931,            0.006931,            0.006931
                  33,             0.03353,            0.011089,           0.0061471,             0.74502,             0.78249,             0.76109,             0.38427,             0.02977,           0.0060607,           0.0030088,            0.006832,            0.006832,            0.006832
                  34,            0.032832,            0.011192,           0.0048855,             0.74298,             0.77338,             0.74511,             0.39589,            0.030014,            0.006398,           0.0033393,            0.006733,            0.006733,            0.006733
                  35,            0.033939,            0.010954,           0.0058106,             0.74173,             0.80658,             0.75887,             0.43392,            0.028163,            0.005753,           0.0029684,            0.006634,            0.006634,            0.006634
                  36,            0.032566,            0.010764,           0.0074474,             0.70175,             0.83032,             0.74988,             0.41518,            0.028321,           0.0058039,           0.0032002,            0.006535,            0.006535,            0.006535
                  37,            0.033331,            0.010984,           0.0061798,             0.76349,              0.7723,              0.7825,             0.42111,            0.029031,           0.0057893,            0.003115,            0.006436,            0.006436,            0.006436
                  38,            0.033738,            0.010946,            0.005727,             0.70894,             0.80146,             0.75383,             0.42589,            0.028196,           0.0058242,           0.0025826,            0.006337,            0.006337,            0.006337
                  39,            0.031382,            0.011457,           0.0065761,             0.74281,             0.81288,              0.7755,             0.42489,            0.028125,           0.0057219,            0.002851,            0.006238,            0.006238,            0.006238
                  40,            0.031982,            0.011166,           0.0056188,             0.76555,             0.78324,             0.78285,             0.42948,            0.029318,           0.0057714,           0.0031445,            0.006139,            0.006139,            0.006139
